#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 02 06 09 50 323  2.5  4.7 99.00 99.00 99.00 999 1017.0  14.3  13.2  11.0 99.0 99.00
2013 02 06 10 50 265  2.0  3.4 99.00 99.00 99.00 999 1017.5  13.3  13.2  11.0 99.0 99.00
2013 02 06 11 50 307  1.3  3.0 99.00 99.00 99.00 999 1018.6  12.2  12.7  10.4 99.0 99.00
2013 02 06 12 50  15  1.0  2.7 99.00 99.00 99.00 999 1019.2  11.7  12.2   9.0 99.0 99.00
2013 02 06 13 50  15  0.7  1.4 99.00 99.00 99.00 999 1020.0  11.1  11.9   8.7 99.0 99.00
2013 02 06 14 50   2  0.8  1.7 99.00 99.00 99.00 999 1020.4  12.0  11.9   9.2 99.0 99.00
2013 02 06 15 50 268  0.1  0.5 99.00 99.00 99.00 999 1020.6  16.0  13.5   7.6 99.0 99.00
2013 02 06 16 50 345  1.2  1.9 99.00 99.00 99.00 999 1020.6  18.3  16.9   6.7 99.0 99.00
2013 02 06 17 50 209  0.6  1.1 99.00 99.00 99.00 999 1020.1  16.5  18.1   8.7 99.0 99.00
2013 02 06 18 50 186  0.5  1.4 99.00 99.00 99.00 999 1019.6  16.2  20.0   8.9 99.0 99.00
2013 02 06 19 50  62  2.2  3.4 99.00 99.00 99.00 999 1019.6  13.8  21.1   8.6 99.0 99.00
2013 02 06 20 50  74  1.7  2.4 99.00 99.00 99.00 999 1020.0  12.7  19.6  10.1 99.0 99.00
2013 02 06 21 50 198  1.2  2.8 99.00 99.00 99.00 999 1020.3  12.8  19.0   9.6 99.0 99.00
2013 02 06 22 50  79  1.2  1.8 99.00 99.00 99.00 999 1020.5  12.7  15.9  10.3 99.0 99.00
2013 02 06 23 50  72  0.9  1.4 99.00 99.00 99.00 999 1021.3  12.7  14.6  10.5 99.0 99.00
2013 02 07 00 50  56  2.2  3.3 99.00 99.00 99.00 999 1022.1  12.3  13.8  10.1 99.0 99.00
